player_short,position
C.Erving,OL
C.Evans,RB
C.Ezeala,RB
C.Farley,DB
C.Farris,OL
C.Feigt,OL
C.Fejedelem,DB
C.Ferguson,LS
C.Ferrell,DL
C.Fiedorowicz,TE
C.Fields,LB
C.Finke,WR
C.Finnegan,DB
C.Flagel,DL
C.Fleener,TE
C.Fleming,OL
C.Flott,DB
C.Ford,OL
C.Fotheringham,TE
C.French,LB
C.Frey,LB
C.Fuller,WR
C.Gaines,DB
C.Garbers,QB
C.Gardner,OL
C.Gardner-Johnson,DB
C.Garrett,LB
C.Geathers,DB
C.Germany,WR
C.Gill,LB
C.Gillaspia,RB
C.Gillmore,TE
C.Givens,WR
C.Glaser,OL
C.Glenn,OL
C.Golston,DL
C.Gonzalez,OL
C.Goode,LB
C.Goodwin,DB
C.Gossett,OL
C.Gragg,TE
C.Graham,DB
C.Granderson,DL
C.Grant,RB
C.Gray,RB
C.Grayson,WR
C.Green,OL
C.Greenway,LB
C.Griffin,DB
C.Grugier-Hill,LB
C.Hackenberg,QB
C.Hackett,DB
C.Hairston,OL
C.Ham,RB
C.Hamilton,WR
C.Hamlett,TE
C.Hansen,LB
C.Harbor,TE
C.Harkey,TE
C.Harper,WR
C.Harrell,TE
C.Harris,DB
C.Hayward,DB
C.Hazel,WR
C.Heck,OL
C.Hedelin,NA
C.Hedlund,K
C.Heiman,LB
C.Helfet,TE
C.Helms,OL
C.Henderson,DB
C.Hendrickson,DL
C.Henne,QB
C.Herdman,TE
C.Herndon,TE
C.Herring,OL
C.Heurtelou,DL
C.Heyward,DL
C.Hicks,LB
C.Highland,LS
C.Hikutini,TE
C.Hilland,OL
C.Hines,OL
C.Hinton,DL
C.Hodges,TE
C.Hogan,WR
C.Holba,LS
C.Holcomb,LB
C.Hollister,WR
C.Holmes,DB
C.Hubbard,OL
C.Hubert,WR
C.Hughlett,LS
C.Humes,DB
C.Humphrey,OL
C.Hunt,OL
C.Huntley,RB
C.Hyde,RB
C.Ivory,RB
C.Iwuagwu,OL
C.Jackson,DB
C.Jacobs,WR
C.James,DB
C.Jefferson,OL
C.Jenkins,DL
C.Jessop,QB
C.Jeter,TE
C.Johnson,WR
C.Johnston,P
C.Jones,DB
C.Jordan,DL
C.Jumper,LB
C.Jurgens,OL
C.Kaepernick,QB
C.Kanoff,QB
C.Kaufusi,OL
C.Keenum,QB
C.Kelley,QB
C.Kelly,QB
C.Kemp,DL
C.Kessler,QB
C.Kidder,DL
C.King,WR
C.Kirk,WR
C.Kirksey,LB
C.Kmet,TE
C.Kolar,TE
C.Kouandjio,OL
C.Kreiter,LS
C.Kuntz,LB
C.Kupp,WR
C.LaCouture,DL
C.Lacy,WR
C.Laing,DL
C.Lamb,WR
C.Lammons,DB
C.Landrum,DL
C.Lang,OL
C.Latimer,WR
C.Lattimore,DL
C.Law,LB
C.Lawrence,NA
C.Lawson,DL
C.LeBlanc,DB
C.Lee,OL
C.Lemon,OL
C.Lemonier,LB
C.Leno,OL
C.Levin,OL
C.Lewis,DB
C.Lewis-Harris,DB
C.Lindstrom,OL
C.Linsley,OL
C.Littleton,LB
C.Litton,QB
C.Liuget,DL
C.Lofton,LB
C.Long,DL
C.Louis,DL
C.Lucas,OL
C.Luckett,LB
C.Luke,DB
C.Lynch,LB
C.Lyons,DL
C.Madden,RB
C.Madison,OL
C.Mager,DB
C.Maggitt,LB
C.Maluia,LB
C.Malveaux,DL
C.Manac,LB
C.Manhart,OL
C.Manhertz,TE
C.Maragos,DB
C.Marsh,DL
C.Marshall,RB
C.Martin,OL
C.Mathieu,DL
C.Matthew,DB
C.Matthews,LB
C.Mayes,DL
C.Mays,OL
C.Mazza,LS
C.McCaffrey,RB
C.McCain,DL
C.McCoy,QB
C.McDermott,OL
C.McDonald,DL
C.McElroy,TE
C.McGovern,OL
C.McGrone,LB
C.McKinzy,LB
C.McKivitz,OL
C.McLaughlin,K
C.Meier,TE
C.Meredith,WR
C.Michael,RB
C.Middleton,LB
C.Mikell,DB
C.Miller,DB
C.Milton,DB
C.Montano,OL
C.Moore,DB
C.Mosley,LB
C.Muma,LB
C.Munnerlyn,DB
C.Munson,LB
C.Murray,DL
C.Myarick,TE
C.Naggar,K
C.Nassib,DL
C.Ndulue,DL
C.Nelson,LB
C.Newton,QB
C.Nizialek,P
C.O'Donnell,OL
C.O'Neal,RB
C.Odom,LB
C.Ogbuehi,OL
C.Okeke,OL
C.Okonkwo,TE
C.Okorafor,OL
C.Okoye,DL
C.Oladokun,QB
C.Olave,WR
C.Omenihu,DL
C.Orr,LB
C.Otton,TE
C.Owens,DB
C.Owusu,WR
C.Pace,LB
C.Palmer,QB
C.Pantale,TE
C.Parkey,K
C.Parkinson,TE
C.Patterson,WR
C.Patton,DL
C.Paul,OL
C.Peace,LB
C.Peake,WR
C.Pearson,WR
C.Peerman,RB
C.Pelon,DL
C.Peters,DL
C.Phillips,DL
C.Pierce,TE
C.Platel,DB
C.Polk,RB
C.Ponder,QB
C.Posey,WR
C.Poutasi,OL
C.Powell,WR
C.Price,RB
C.Proehl,WR
C.Prosinski,DB
C.Prosise,RB
C.Pryor,DB
C.Rahrig,OL
C.Rambo,WR
C.Reavis,DB
C.Redding,DL
C.Reed,OL
C.Reid,DL
C.Reynolds,RB
C.Richardson,OL
C.Ridley,WR
C.Riggs,DB
C.Riley,DB
C.Ringo,DL
C.Rivers,DL
C.Robbins,DL
C.Robertson,LB
C.Robinson,OL
C.Rogers,WR
C.Roullier,OL
C.Rowland,WR
C.Rozeboom,LB
C.Ruiz,OL
C.Rumph,LB
C.Rush,QB
C.Russell,LB
C.Sam,LB
C.Sample,DL
C.Samuel,WR
C.Santos,K
C.Saunders,WR
C.Sayles,DL
C.Scarff,TE
C.Scarlett,RB
C.Schleuger,OL
C.Schmidt,P
C.Schneider,OL
C.Scotland-Williamson,TE
C.Scott,WR
C.Sensabaugh,DB
C.Serigne,TE
C.Severin,WR
C.Shatley,OL
C.Shaw,QB
C.Sheehy,DL
C.Shelton,OL
C.Shorts,WR
C.Shudak,K
C.Simpson,WR
C.Sims,WR
C.Slade,OL
C.Slayton,DL
C.Smith,DL
C.Snowden,LB
C.Spiller,RB
C.Steele,DB
C.Sterns,DB
C.Stevens,TE
C.Stingily,RB
C.Strachan,LB
C.Straughter,DB
C.Streveler,QB
C.Stribling,DB
C.Strong,QB
C.Sturgis,K
C.Sullivan,DB
C.Surratt,LB
C.Sutton,DB
C.Swain,RB
C.Tago,LB
C.Tankersley,DB
C.Tapper,DL
C.Taumoepeau,TE
C.Taylor,DL
C.Taylor-Britt,DB
C.Thomas,DL
C.Thompson,WR
C.Thornton,DL
C.Thorson,QB
C.Throckmorton,OL
C.Tillman,DB
C.Tindal,DB
C.Tindall,LB
C.Tinker,LS
C.Tom,OL
C.Toner,OL
C.Toohill,DL
C.Tucker,OL
C.Turner,TE
C.Underwood,TE
C.Uphoff,DB
C.Upshaw,DL
C.Uzomah,TE
C.Van Lanen,OL
C.Vaughn,DB
C.Verdell,RB
C.Vereen,DL
C.Volson,OL
C.Wade,RB
C.Wadman,P
C.Waitman,P
C.Wake,DL
C.Walford,TE
C.Walker,DL
C.Wallace,OL
C.Ward,DB
C.Warmack,OL
C.Warren,RB
C.Washington,DB
C.Watkins,DL
C.Watson,WR
C.Watt,OL
C.Watts,OL
C.Weaver,DL
C.Wedington,WR
C.Wells,LB
C.Wentz,QB
C.West,RB
C.Westerman,OL
C.Westry,DB
C.Wheeler,OL
C.White,WR
C.Whitehair,OL
C.Whitehurst,QB
C.Wichmann,OL
C.Wick,TE
C.Wilcox,DB
C.Wiley,LB
C.Wilkins,DL
C.Williams,OL
C.Williamson,DB
C.Willis,WR
C.Wilson,WR
C.Winovich,DL
C.Witten,TE
C.Woerner,TE
C.Wooten,LB
C.Wootton,DL
C.Worley,LB
C.Wormley,DL
C.Worthy,WR
C.Worton,WR
C.Wray,DL
C.Wujciak,DL
C.Yeast,DB
C.York,K
C.Young,DL
D.Abrams,DB
D.Acy,DB
D.Adams,WR
D.Aiken,LS
D.Akunne,LB
D.Alexander,LB
D.Alford,DB
D.Allen,LB
D.Amendola,WR
D.Amerson,DB
D.Amos,DB
D.Anderson,QB
D.Andrews,OL
D.Anenih,LB
D.Anthrop,WR
D.Archer,RB
D.Archibong,DL
D.Arkin,OL
D.Armstrong,DL
D.Arnette,DB
D.Arnold,TE
D.Asiasi,TE
D.Askew-Henry,DB
D.Autry,DL
D.Ayers,WR
D.Bada,DL
D.Bailey,K
D.Baity,DB
D.Baker,DB
D.Bakhtiari,OL
D.Baldwin,WR
D.Banfield,DL
D.Barclay,OL
D.Barnes,LB
D.Barnett,DL
D.Bass,LB
D.Bates,LB
D.Bausby,DB
D.Beavers,LB
D.Belcher,TE
D.Bell,DB
D.Bellamy,LB
D.Bellinger,TE
D.Belton,DB
D.Bishop,LB
D.Bituli,LB
D.Blackmon,DB
D.Bland,DB
